# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: daily-drying-wears-it-out | every column is defined in the codebook for this experiment
tray_id,month,day,date,on_schedule,light_hours,mould_seen,notes
T04,8,240,2027-09-29,y,14,n,
T04,9,270,2027-10-29,y,14,n,
T04,10,300,2027-11-28,y,14,n,
T04,11,330,2027-12-28,y,14,n,
T04,12,360,2028-01-27,y,14,n,
T05,1,30,2027-03-03,y,14,n,
T05,2,60,2027-04-02,y,14,n,
T05,3,90,2027-05-02,y,14,n,
T05,4,120,2027-06-01,y,14,n,
T05,5,150,2027-07-01,y,14,n,
T05,6,180,2027-07-31,y,14,y,
T05,7,210,2027-08-30,y,14,n,
T05,8,240,2027-09-29,y,14,n,
T05,9,270,2027-10-29,y,14,n,
T05,10,300,2027-11-28,y,14,n,
T05,11,330,2027-12-28,y,14,n,
T05,12,360,2028-01-27,y,14,n,
T06,1,30,2027-03-03,y,14,n,
T06,2,60,2027-04-02,y,14,n,
T06,3,90,2027-05-02,y,14,n,
T06,4,120,2027-06-01,y,14,n,
T06,5,150,2027-07-01,y,14,n,
T06,6,180,2027-07-31,y,14,n,
T06,7,210,2027-08-30,y,14,n,
T06,8,240,2027-09-29,y,14,n,
T06,9,270,2027-10-29,y,14,n,
T06,10,300,2027-11-28,y,14,n,
T06,11,330,2027-12-28,y,14,n,
T06,12,360,2028-01-27,y,14,n,
T07,1,30,2027-03-03,y,14,n,
T07,2,60,2027-04-02,y,14,n,
T07,3,90,2027-05-02,y,14,n,
T07,4,120,2027-06-01,y,14,n,
T07,5,150,2027-07-01,y,14,n,
T07,6,180,2027-07-31,y,14,n,
T07,7,210,2027-08-30,y,14,n,
T07,8,240,2027-09-29,y,14,n,
T07,9,270,2027-10-29,y,14,n,
T07,10,300,2027-11-28,y,14,n,
T07,11,330,2027-12-28,y,14,n,
T07,12,360,2028-01-27,y,14,n,
T08,1,30,2027-03-03,y,14,n,
T08,2,60,2027-04-02,y,14,n,
T08,3,90,2027-05-02,y,14,n,
T08,4,120,2027-06-01,y,14,n,
T08,5,150,2027-07-01,y,14,n,
T08,6,180,2027-07-31,y,14,n,
T08,7,210,2027-08-30,y,14,n,
T08,8,240,2027-09-29,y,14,n,
T08,9,270,2027-10-29,y,14,n,
T08,10,300,2027-11-28,y,14,n,
T08,11,330,2027-12-28,y,14,n,
T08,12,360,2028-01-27,y,14,n,
T09,1,30,2027-03-03,y,14,y,
T09,2,60,2027-04-02,y,14,n,
T09,3,90,2027-05-02,y,14,n,
T09,4,120,2027-06-01,y,14,n,
T09,5,150,2027-07-01,y,14,n,
T09,6,180,2027-07-31,y,14,n,
T09,7,210,2027-08-30,y,14,n,
T09,8,240,2027-09-29,y,14,n,
T09,9,270,2027-10-29,y,14,n,
T09,10,300,2027-11-28,y,14,y,
T09,11,330,2027-12-28,y,14,n,
T09,12,360,2028-01-27,y,14,n,
T10,1,30,2027-03-03,y,14,n,
T10,2,60,2027-04-02,y,14,n,
T10,3,90,2027-05-02,y,14,n,
T10,4,120,2027-06-01,y,14,n,
T10,5,150,2027-07-01,y,14,n,
T10,6,180,2027-07-31,y,14,n,
T10,7,210,2027-08-30,y,14,n,
T10,8,240,2027-09-29,y,14,n,
T10,9,270,2027-10-29,y,14,n,
T10,10,300,2027-11-28,y,14,n,
T10,11,330,2027-12-28,y,14,n,
T10,12,360,2028-01-27,y,14,n,
T11,1,30,2027-03-03,y,14,n,
T11,2,60,2027-04-02,y,14,n,
T11,3,90,2027-05-02,y,14,n,
T11,4,120,2027-06-01,y,14,n,
T11,5,150,2027-07-01,y,14,n,
T11,6,180,2027-07-31,y,14,n,
T11,7,210,2027-08-30,y,14,n,
T11,8,240,2027-09-29,y,14,n,
T11,9,270,2027-10-29,y,14,n,
T11,10,300,2027-11-28,y,14,n,
T11,11,330,2027-12-28,y,14,n,
T11,12,360,2028-01-27,y,14,n,
T12,1,30,2027-03-03,y,14,n,
T12,2,60,2027-04-02,y,14,n,
T12,3,90,2027-05-02,y,14,n,
T12,4,120,2027-06-01,y,14,n,
T12,5,150,2027-07-01,y,14,n,
T12,6,180,2027-07-31,y,14,n,
T12,7,210,2027-08-30,y,14,n,
T12,8,240,2027-09-29,y,14,n,
T12,9,270,2027-10-29,y,14,n,
T12,10,300,2027-11-28,y,14,n,
T12,11,330,2027-12-28,y,14,n,
T12,12,360,2028-01-27,y,14,n,
T13,1,30,2027-03-03,y,14,n,
T13,2,60,2027-04-02,y,14,n,
T13,3,90,2027-05-02,y,14,n,
T13,4,120,2027-06-01,y,14,n,
T13,5,150,2027-07-01,y,14,n,
T13,6,180,2027-07-31,y,14,n,
T13,7,210,2027-08-30,y,14,n,
T13,8,240,2027-09-29,y,14,n,
T13,9,270,2027-10-29,y,14,n,
T13,10,300,2027-11-28,y,14,n,
T13,11,330,2027-12-28,y,14,n,
T13,12,360,2028-01-27,y,14,n,
T14,1,30,2027-03-03,y,14,n,
T14,2,60,2027-04-02,y,14,n,
T14,3,90,2027-05-02,y,14,n,
T14,4,120,2027-06-01,y,14,n,
T14,5,150,2027-07-01,y,14,n,
T14,6,180,2027-07-31,y,14,n,
T14,7,210,2027-08-30,y,14,n,
T14,8,240,2027-09-29,y,14,n,
T14,9,270,2027-10-29,y,14,n,
T14,10,300,2027-11-28,y,14,n,
T14,11,330,2027-12-28,y,14,n,
T14,12,360,2028-01-27,y,14,n,
T15,1,30,2027-03-03,y,14,n,
T15,2,60,2027-04-02,y,14,n,
T15,3,90,2027-05-02,y,14,n,
T15,4,120,2027-06-01,y,14,n,
T15,5,150,2027-07-01,y,14,n,
T15,6,180,2027-07-31,y,14,n,
T15,7,210,2027-08-30,y,14,n,
T15,8,240,2027-09-29,y,14,n,
T15,9,270,2027-10-29,y,14,n,
T15,10,300,2027-11-28,y,14,n,
T15,11,330,2027-12-28,y,14,n,
T15,12,360,2028-01-27,y,14,n,
T16,1,30,2027-03-03,y,14,n,
T16,2,60,2027-04-02,y,14,n,
T16,3,90,2027-05-02,y,14,n,
T16,4,120,2027-06-01,y,14,n,
T16,5,150,2027-07-01,y,14,n,
T16,6,180,2027-07-31,y,14,n,
T16,7,210,2027-08-30,y,14,n,
T16,8,240,2027-09-29,y,14,n,
T16,9,270,2027-10-29,y,14,n,
T16,10,300,2027-11-28,y,14,n,
T16,11,330,2027-12-28,y,14,n,
T16,12,360,2028-01-27,y,14,n,
T17,1,30,2027-03-03,y,14,n,
T17,2,60,2027-04-02,y,14,n,
T17,3,90,2027-05-02,y,14,n,
T17,4,120,2027-06-01,y,14,n,
T17,5,150,2027-07-01,y,14,n,
T17,6,180,2027-07-31,y,14,n,
T17,7,210,2027-08-30,y,14,n,
T17,8,240,2027-09-29,y,14,n,
T17,9,270,2027-10-29,y,14,n,
T17,10,300,2027-11-28,y,14,n,
T17,11,330,2027-12-28,y,14,n,
T17,12,360,2028-01-27,y,14,n,
T18,1,30,2027-03-03,n,14,n,
T18,2,60,2027-04-02,y,14,n,
T18,3,90,2027-05-02,y,14,n,
T18,4,120,2027-06-01,y,14,n,
T18,5,150,2027-07-01,y,14,n,
T18,6,180,2027-07-31,y,14,n,
T18,7,210,2027-08-30,y,14,n,
T18,8,240,2027-09-29,y,14,n,
T18,9,270,2027-10-29,y,14,n,
T18,10,300,2027-11-28,y,14,n,
T18,11,330,2027-12-28,y,14,n,
T18,12,360,2028-01-27,y,14,n,
T19,1,30,2027-03-03,y,14,n,
T19,2,60,2027-04-02,y,14,n,
T19,3,90,2027-05-02,y,14,n,
T19,4,120,2027-06-01,y,14,n,
T19,5,150,2027-07-01,y,14,n,
T19,6,180,2027-07-31,y,14,n,
T19,7,210,2027-08-30,y,14,n,
T19,8,240,2027-09-29,y,14,n,
T19,9,270,2027-10-29,y,14,n,
T19,10,300,2027-11-28,y,14,n,
T19,11,330,2027-12-28,y,14,n,
T19,12,360,2028-01-27,y,14,n,
T20,1,30,2027-03-03,y,14,n,
T20,2,60,2027-04-02,y,14,n,
T20,3,90,2027-05-02,y,14,n,
T20,4,120,2027-06-01,y,14,n,
T20,5,150,2027-07-01,y,14,n,
T20,6,180,2027-07-31,y,14,n,
T20,7,210,2027-08-30,y,14,n,
T20,8,240,2027-09-29,y,14,n,
T20,9,270,2027-10-29,y,14,n,
T20,10,300,2027-11-28,y,14,n,
T20,11,330,2027-12-28,y,14,n,
T20,12,360,2028-01-27,y,14,n,
T21,1,30,2027-03-03,y,14,n,
T21,2,60,2027-04-02,y,14,n,
T21,3,90,2027-05-02,y,14,n,
T21,4,120,2027-06-01,y,14,y,
T21,5,150,2027-07-01,y,14,n,
T21,6,180,2027-07-31,y,14,n,
T21,7,210,2027-08-30,y,14,n,
T21,8,240,2027-09-29,y,14,n,
T21,9,270,2027-10-29,y,14,n,
T21,10,300,2027-11-28,y,14,n,
T21,11,330,2027-12-28,y,14,n,
T21,12,360,2028-01-27,y,14,n,
T22,1,30,2027-03-03,y,14,n,
T22,2,60,2027-04-02,y,14,y,
T22,3,90,2027-05-02,y,14,n,
T22,4,120,2027-06-01,y,14,n,
T22,5,150,2027-07-01,y,14,n,
T22,6,180,2027-07-31,y,14,n,
T22,7,210,2027-08-30,y,14,n,
T22,8,240,2027-09-29,y,14,n,
T22,9,270,2027-10-29,y,14,n,
T22,10,300,2027-11-28,y,14,n,
T22,11,330,2027-12-28,y,14,n,
T22,12,360,2028-01-27,y,14,n,
T23,1,30,2027-03-03,y,14,n,
T23,2,60,2027-04-02,y,14,y,
T23,3,90,2027-05-02,y,14,n,
T23,4,120,2027-06-01,n,14,n,
T23,5,150,2027-07-01,y,14,n,
T23,6,180,2027-07-31,y,14,n,
T23,7,210,2027-08-30,y,14,n,
T23,8,240,2027-09-29,y,14,n,
T23,9,270,2027-10-29,y,14,n,
T23,10,300,2027-11-28,y,14,n,
T23,11,330,2027-12-28,y,14,n,
T23,12,360,2028-01-27,y,14,n,
T24,1,30,2027-03-03,y,14,n,
T24,2,60,2027-04-02,y,14,n,
T24,3,90,2027-05-02,y,14,n,
T24,4,120,2027-06-01,y,14,n,
T24,5,150,2027-07-01,y,14,n,
T24,6,180,2027-07-31,y,14,n,
T24,7,210,2027-08-30,y,14,n,
T24,8,240,2027-09-29,y,14,n,
T24,9,270,2027-10-29,y,14,n,
T24,10,300,2027-11-28,y,14,n,
T24,11,330,2027-12-28,y,14,n,
T24,12,360,2028-01-27,y,14,n,
