# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: recovery.csv | invented numbers, a dry run and not a result | scenario: daily-drying-wears-it-out | every column is defined in the codebook for this experiment
tray_id,month,day,date,cycles_done,fv_fm,hours_after_rewet,method,notes
T04,11,330,2027-12-28,330,0.045,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,12,360,2028-01-27,360,0.041,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,1,30,2027-03-03,30,0.607,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,2,60,2027-04-02,60,0.484,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,3,90,2027-05-02,90,0.35,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,4,120,2027-06-01,120,0.304,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,5,150,2027-07-01,150,0.246,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,6,180,2027-07-31,180,0.183,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,7,210,2027-08-30,210,0.129,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,8,240,2027-09-29,240,0.079,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,9,270,2027-10-29,270,0.078,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,10,300,2027-11-28,300,0.068,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,11,330,2027-12-28,330,0.069,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T05,12,360,2028-01-27,360,0.035,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,1,30,2027-03-03,30,0.601,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,2,60,2027-04-02,60,0.469,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,3,90,2027-05-02,90,0.371,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,4,120,2027-06-01,120,0.295,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,5,150,2027-07-01,150,0.226,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,6,180,2027-07-31,180,0.172,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,7,210,2027-08-30,210,0.144,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,8,240,2027-09-29,240,0.145,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,9,270,2027-10-29,270,0.104,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,10,300,2027-11-28,300,0.075,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,11,330,2027-12-28,330,0.05,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T06,12,360,2028-01-27,360,0.044,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,1,30,2027-03-03,4,0.751,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,2,60,2027-04-02,8,0.722,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,3,90,2027-05-02,12,0.718,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,4,120,2027-06-01,17,0.704,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,5,150,2027-07-01,21,0.72,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,6,180,2027-07-31,25,0.664,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,7,210,2027-08-30,30,0.616,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,8,240,2027-09-29,34,0.621,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,9,270,2027-10-29,38,0.611,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,10,300,2027-11-28,42,0.608,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,11,330,2027-12-28,47,0.579,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T07,12,360,2028-01-27,51,0.588,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,1,30,2027-03-03,4,0.741,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,2,60,2027-04-02,8,0.704,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,3,90,2027-05-02,12,0.709,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,4,120,2027-06-01,17,0.679,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,5,150,2027-07-01,21,0.675,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,6,180,2027-07-31,25,0.655,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,7,210,2027-08-30,30,0.651,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,8,240,2027-09-29,34,0.615,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,9,270,2027-10-29,38,0.625,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,10,300,2027-11-28,42,0.617,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,11,330,2027-12-28,47,0.559,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T08,12,360,2028-01-27,51,0.534,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,1,30,2027-03-03,4,0.729,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,2,60,2027-04-02,8,0.745,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,3,90,2027-05-02,12,0.716,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,4,120,2027-06-01,17,0.673,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,5,150,2027-07-01,21,0.655,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,6,180,2027-07-31,25,0.656,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,7,210,2027-08-30,30,0.648,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,8,240,2027-09-29,34,0.62,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,9,270,2027-10-29,38,0.626,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,10,300,2027-11-28,42,0.597,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,11,330,2027-12-28,47,0.61,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T09,12,360,2028-01-27,51,0.566,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,1,30,2027-03-03,4,0.773,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,2,60,2027-04-02,8,0.7,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,3,90,2027-05-02,12,0.684,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,4,120,2027-06-01,17,0.652,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,5,150,2027-07-01,21,0.624,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,6,180,2027-07-31,25,0.614,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,7,210,2027-08-30,30,0.585,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,8,240,2027-09-29,34,0.561,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,9,270,2027-10-29,38,0.518,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,10,300,2027-11-28,42,0.524,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,11,330,2027-12-28,47,0.502,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T10,12,360,2028-01-27,51,0.479,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,1,30,2027-03-03,4,0.723,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,2,60,2027-04-02,8,0.703,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,3,90,2027-05-02,12,0.681,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,4,120,2027-06-01,17,0.652,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,5,150,2027-07-01,21,0.634,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,6,180,2027-07-31,25,0.603,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,7,210,2027-08-30,30,0.577,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,8,240,2027-09-29,34,0.582,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,9,270,2027-10-29,38,0.523,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,10,300,2027-11-28,42,0.539,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,11,330,2027-12-28,47,0.516,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T11,12,360,2028-01-27,51,0.479,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,1,30,2027-03-03,4,0.73,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,2,60,2027-04-02,8,0.69,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,3,90,2027-05-02,12,0.685,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,4,120,2027-06-01,17,0.635,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,5,150,2027-07-01,21,0.629,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,6,180,2027-07-31,25,0.63,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,7,210,2027-08-30,30,0.563,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,8,240,2027-09-29,34,0.571,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,9,270,2027-10-29,38,0.539,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,10,300,2027-11-28,42,0.501,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,11,330,2027-12-28,47,0.492,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T12,12,360,2028-01-27,51,0.506,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,1,30,2027-03-03,1,0.757,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,2,60,2027-04-02,2,0.769,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,3,90,2027-05-02,3,0.748,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,4,120,2027-06-01,4,0.724,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,5,150,2027-07-01,5,0.726,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,6,180,2027-07-31,6,0.719,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,7,210,2027-08-30,7,0.684,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,8,240,2027-09-29,8,0.715,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,9,270,2027-10-29,9,0.724,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,10,300,2027-11-28,10,0.706,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,11,330,2027-12-28,11,0.716,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T13,12,360,2028-01-27,12,0.659,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,1,30,2027-03-03,1,0.78,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,2,60,2027-04-02,2,0.724,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,3,90,2027-05-02,3,0.766,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,4,120,2027-06-01,4,0.723,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,5,150,2027-07-01,5,0.736,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,6,180,2027-07-31,6,0.696,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,7,210,2027-08-30,7,0.683,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,8,240,2027-09-29,8,0.722,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,9,270,2027-10-29,9,0.699,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,10,300,2027-11-28,10,0.679,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,11,330,2027-12-28,11,0.679,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T14,12,360,2028-01-27,12,0.695,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,1,30,2027-03-03,1,0.739,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,2,60,2027-04-02,2,0.747,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,3,90,2027-05-02,3,0.769,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,4,120,2027-06-01,4,0.706,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,5,150,2027-07-01,5,0.764,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,6,180,2027-07-31,6,0.704,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,7,210,2027-08-30,7,0.706,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,8,240,2027-09-29,8,0.696,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,9,270,2027-10-29,9,0.725,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,10,300,2027-11-28,10,0.705,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,11,330,2027-12-28,11,0.681,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T15,12,360,2028-01-27,12,0.665,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,1,30,2027-03-03,1,0.742,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,2,60,2027-04-02,2,0.73,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,3,90,2027-05-02,3,0.739,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,4,120,2027-06-01,4,0.74,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,5,150,2027-07-01,5,0.7,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,6,180,2027-07-31,6,0.716,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,7,210,2027-08-30,7,0.688,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,8,240,2027-09-29,8,0.707,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,9,270,2027-10-29,9,0.667,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,10,300,2027-11-28,10,0.658,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,11,330,2027-12-28,11,0.673,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T16,12,360,2028-01-27,12,0.632,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,1,30,2027-03-03,1,0.74,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,2,60,2027-04-02,2,0.75,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,3,90,2027-05-02,3,0.736,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,4,120,2027-06-01,4,0.736,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,5,150,2027-07-01,5,0.698,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,6,180,2027-07-31,6,0.705,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,7,210,2027-08-30,7,0.704,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,8,240,2027-09-29,8,0.677,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,9,270,2027-10-29,9,0.656,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,10,300,2027-11-28,10,0.673,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,11,330,2027-12-28,11,0.659,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T17,12,360,2028-01-27,12,0.659,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,1,30,2027-03-03,1,0.756,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,2,60,2027-04-02,2,0.725,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,3,90,2027-05-02,3,0.72,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,4,120,2027-06-01,4,0.715,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,5,150,2027-07-01,5,0.701,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,6,180,2027-07-31,6,0.684,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,7,210,2027-08-30,7,0.713,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,8,240,2027-09-29,8,0.693,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,9,270,2027-10-29,9,0.689,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,10,300,2027-11-28,10,0.662,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,11,330,2027-12-28,11,0.666,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T18,12,360,2028-01-27,12,0.672,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,1,30,2027-03-03,0,0.761,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,2,60,2027-04-02,0,0.772,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,3,90,2027-05-02,0,0.729,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,4,120,2027-06-01,0,0.747,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,5,150,2027-07-01,0,0.764,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,6,180,2027-07-31,0,0.744,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,7,210,2027-08-30,0,0.714,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,8,240,2027-09-29,0,0.744,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,9,270,2027-10-29,0,0.722,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,10,300,2027-11-28,0,0.722,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,11,330,2027-12-28,0,0.726,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T19,12,360,2028-01-27,0,0.721,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,1,30,2027-03-03,0,0.753,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,2,60,2027-04-02,0,0.752,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,3,90,2027-05-02,0,0.779,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,4,120,2027-06-01,0,0.745,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,5,150,2027-07-01,0,0.717,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,6,180,2027-07-31,0,0.735,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,7,210,2027-08-30,0,0.745,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,8,240,2027-09-29,0,0.733,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,9,270,2027-10-29,0,0.742,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,10,300,2027-11-28,0,0.693,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,11,330,2027-12-28,0,0.714,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T20,12,360,2028-01-27,0,0.719,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,1,30,2027-03-03,0,0.765,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,2,60,2027-04-02,0,0.745,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,3,90,2027-05-02,0,0.743,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,4,120,2027-06-01,0,0.752,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,5,150,2027-07-01,0,0.733,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,6,180,2027-07-31,0,0.714,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,7,210,2027-08-30,0,0.723,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,8,240,2027-09-29,0,0.725,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,9,270,2027-10-29,0,0.706,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,10,300,2027-11-28,0,0.74,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,11,330,2027-12-28,0,0.731,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T21,12,360,2028-01-27,0,0.721,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,1,30,2027-03-03,0,0.737,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,2,60,2027-04-02,0,0.738,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,3,90,2027-05-02,0,0.789,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,4,120,2027-06-01,0,0.726,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,5,150,2027-07-01,0,0.755,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,6,180,2027-07-31,0,0.731,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,7,210,2027-08-30,0,0.722,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,8,240,2027-09-29,0,0.746,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,9,270,2027-10-29,0,0.728,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,10,300,2027-11-28,0,0.729,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T22,11,330,2027-12-28,0,0.724,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
