# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: leachate.csv | invented numbers, a dry run and not a result | scenario: citrate-frees-phosphorus | every column is defined in the codebook for this experiment
pot_id,day,date,phosphate_mg_per_l,iron_mg_per_l,ph,notes
C08,14,2027-07-19,0.612,0.437,8.25,
C08,21,2027-07-26,0.941,0.715,8.17,
C08,28,2027-08-02,1.235,0.881,8.26,
C09,0,2027-07-05,0.094,0.06,8.2,
C09,7,2027-07-12,0.365,0.245,8.22,
C09,14,2027-07-19,0.579,0.383,8.21,
C09,21,2027-07-26,0.923,0.695,8.37,
C09,28,2027-08-02,1.256,0.893,8.06,
C10,0,2027-07-05,0.095,0.056,8.33,
C10,7,2027-07-12,0.529,0.319,8.35,
C10,14,2027-07-19,0.84,0.641,8.25,
C10,21,2027-07-26,1.402,0.944,8.22,
C10,28,2027-08-02,1.894,1.158,8.19,
C11,0,2027-07-05,0.102,0.06,8.25,
C11,7,2027-07-12,0.495,0.288,8.3,
C11,14,2027-07-19,0.883,0.7,8.29,
C11,21,2027-07-26,1.293,0.77,8.04,
C11,28,2027-08-02,1.641,1.082,8.4,
C12,0,2027-07-05,0.1,0.051,8.36,
C12,7,2027-07-12,0.575,0.348,8.1,
C12,14,2027-07-19,0.949,0.515,8.38,
C12,21,2027-07-26,1.477,1.046,8.35,
C12,28,2027-08-02,1.369,1.05,8.28,
C13,0,2027-07-05,0.096,0.057,8.3,
C13,7,2027-07-12,1.12,0.691,8.27,
C13,14,2027-07-19,1.734,1.724,8.28,
C13,21,2027-07-26,2.406,1.824,8.15,
C13,28,2027-08-02,3.641,2.902,8.13,
C14,0,2027-07-05,0.11,0.052,8.28,
C14,7,2027-07-12,1.041,0.661,8.16,
C14,14,2027-07-19,1.933,1.39,8.15,
C14,21,2027-07-26,3.114,2.261,8.18,
C14,28,2027-08-02,4.274,2.382,8.2,
C15,0,2027-07-05,0.099,0.056,8.29,
C15,7,2027-07-12,0.904,0.608,8.2,
C15,14,2027-07-19,2.037,1.433,8.38,
C15,21,2027-07-26,2.971,2.488,8.47,
C15,28,2027-08-02,3.375,2.906,8.34,
C16,0,2027-07-05,0.108,0.052,8.17,
C16,7,2027-07-12,1.235,1.05,8.28,
C16,14,2027-07-19,2.808,2.126,8.21,
C16,21,2027-07-26,3.863,2.568,8.18,
C16,28,2027-08-02,5.087,4.496,8.12,
C17,0,2027-07-05,0.103,0.05,8.38,
C17,7,2027-07-12,1.382,1.058,8.35,
C17,14,2027-07-19,2.476,2.175,8.35,
C17,21,2027-07-26,3.926,3.162,8.28,
C17,28,2027-08-02,5.483,4.34,8.2,
C18,0,2027-07-05,0.094,0.048,8.32,
C18,7,2027-07-12,1.505,0.945,8.34,
C18,14,2027-07-19,2.606,1.771,8.34,
C18,21,2027-07-26,4.142,2.926,8.25,
C18,28,2027-08-02,5.37,3.195,8.17,
C19,0,2027-07-05,0.114,0.057,8.06,
C19,7,2027-07-12,1.866,1.656,8.17,
C19,14,2027-07-19,3.655,3.44,8.14,
C19,21,2027-07-26,6.549,4.379,7.91,
C19,28,2027-08-02,8.485,6.552,8.1,
C20,0,2027-07-05,0.1,0.045,8.18,
C20,7,2027-07-12,1.906,1.314,8.23,
C20,14,2027-07-19,3.526,2.964,8.13,
C20,21,2027-07-26,5.856,5.031,8.09,
C20,28,2027-08-02,7.795,5.652,8.24,
C21,0,2027-07-05,0.108,0.055,8.06,
C21,7,2027-07-12,1.948,2.108,8.17,
C21,14,2027-07-19,3.8,2.93,8.29,
C21,21,2027-07-26,6.48,4.584,8.19,
C21,28,2027-08-02,7.164,6.448,8.23,
C22,0,2027-07-05,0.098,0.053,8.17,
C22,7,2027-07-12,3.158,2.577,8.04,
C22,14,2027-07-19,5.632,4.459,8.15,
C22,21,2027-07-26,8.064,6.003,7.97,
C22,28,2027-08-02,12.312,10.735,8.16,
C23,0,2027-07-05,0.104,0.051,7.99,
C23,7,2027-07-12,3.151,2.395,8.17,
C23,14,2027-07-19,5.691,3.921,8.15,
C23,21,2027-07-26,8.345,7.564,8.21,
C23,28,2027-08-02,12.205,9.485,8.17,
C24,0,2027-07-05,0.096,0.053,7.98,
C24,7,2027-07-12,3.21,1.716,8.06,
C24,14,2027-07-19,5.392,4.829,8.15,
C24,21,2027-07-26,9.109,6.719,7.96,
C24,28,2027-08-02,10.015,9.204,8.03,
C25,0,2027-07-05,0.094,0.044,7.33,
C25,7,2027-07-12,2.575,2.098,7.42,
C25,14,2027-07-19,4.283,4.965,7.43,
C25,21,2027-07-26,6.788,5.301,7.4,
C25,28,2027-08-02,9.771,9.204,7.34,
C26,0,2027-07-05,0.092,0.053,7.55,
C26,7,2027-07-12,2.357,1.892,7.49,
C26,14,2027-07-19,4.404,3.282,7.34,
C26,21,2027-07-26,6.637,5.436,7.41,
C26,28,2027-08-02,10.401,9.671,7.46,
C27,0,2027-07-05,0.111,0.05,7.5,
C27,7,2027-07-12,1.983,2.639,7.39,
C27,14,2027-07-19,4.634,4.72,7.28,
C27,21,2027-07-26,6.219,6.052,7.49,
C27,28,2027-08-02,11.031,8.546,7.54,
C28,0,2027-07-05,0.094,0.05,7.34,
C28,7,2027-07-12,3.066,2.695,7.53,
C28,14,2027-07-19,7.09,6.525,7.34,
C28,21,2027-07-26,9.324,9.491,7.36,
C28,28,2027-08-02,12.022,10.263,7.37,
C29,0,2027-07-05,0.11,0.049,7.4,
C29,7,2027-07-12,3.654,3.607,7.42,
C29,14,2027-07-19,6.435,6.913,7.46,
C29,21,2027-07-26,9.529,7.606,7.39,
C29,28,2027-08-02,12.954,11.157,7.43,
C30,0,2027-07-05,0.106,0.049,7.27,
C30,7,2027-07-12,3.685,2.741,7.34,
C30,14,2027-07-19,6.194,6.121,7.44,
C30,21,2027-07-26,10.759,7.792,7.18,
C30,28,2027-08-02,13.441,12.86,7.55,
