# MarsWorm | V4 The bioengineered plant | Exp 1 | Is the plant poisoning itself?
# Sheet: tissue.csv | invented numbers, a dry run and not a result | scenario: ammonium-rescues | every column is defined in the codebook for this experiment
pot_id,day,date,dry_mass_g,nitrate_reductase_units,tissue_nitrate_mg_per_g,method,notes
P09,7,2027-05-10,0.0805,0.24,2.45,"in vivo assay, then ion chromatography",
P09,14,2027-05-17,0.1281,0.11,1.79,"in vivo assay, then ion chromatography",
P09,21,2027-05-24,0.2784,0.47,1.56,"in vivo assay, then ion chromatography",
P09,28,2027-05-31,0.2455,0.27,2.02,"in vivo assay, then ion chromatography",
P10,0,2027-05-03,0.0033,0.46,1.74,"in vivo assay, then ion chromatography",
P10,7,2027-05-10,0.0954,0.17,2.18,"in vivo assay, then ion chromatography",
P10,14,2027-05-17,0.158,0.43,2.05,"in vivo assay, then ion chromatography",
P10,21,2027-05-24,0.2267,0.23,1.86,"in vivo assay, then ion chromatography",
P10,28,2027-05-31,0.3435,0.21,2.34,"in vivo assay, then ion chromatography",
P11,0,2027-05-03,0.0033,0.31,3.49,"in vivo assay, then ion chromatography",
P11,7,2027-05-10,0.086,0.33,2.69,"in vivo assay, then ion chromatography",
P11,14,2027-05-17,0.1428,0.18,1.26,"in vivo assay, then ion chromatography",
P11,21,2027-05-24,0.2322,0.36,3.97,"in vivo assay, then ion chromatography",
P11,28,2027-05-31,0.3109,0.29,2.72,"in vivo assay, then ion chromatography",
P12,0,2027-05-03,0.0027,0.33,1.34,"in vivo assay, then ion chromatography",
P12,7,2027-05-10,0.0687,0.1,2.83,"in vivo assay, then ion chromatography",
P12,14,2027-05-17,0.1873,0.39,3.86,"in vivo assay, then ion chromatography",
P12,21,2027-05-24,0.2055,0.37,3.68,"in vivo assay, then ion chromatography",
P12,28,2027-05-31,0.3218,0.24,1.77,"in vivo assay, then ion chromatography",
P13,0,2027-05-03,0.0033,0.29,2.31,"in vivo assay, then ion chromatography",
P13,7,2027-05-10,0.0437,1.88,10.4,"in vivo assay, then ion chromatography",
P13,14,2027-05-17,0.0895,1.94,9.36,"in vivo assay, then ion chromatography",
P13,21,2027-05-24,0.1452,2.2,9.94,"in vivo assay, then ion chromatography",
P13,28,2027-05-31,0.1781,2.14,8.96,"in vivo assay, then ion chromatography",
P14,0,2027-05-03,0.0029,0.64,2.57,"in vivo assay, then ion chromatography",
P14,7,2027-05-10,0.0466,1.83,8.77,"in vivo assay, then ion chromatography",
P14,14,2027-05-17,0.0805,2.17,9.24,"in vivo assay, then ion chromatography",
P14,21,2027-05-24,0.129,1.96,8.8,"in vivo assay, then ion chromatography",
P14,28,2027-05-31,0.2066,1.92,9.74,"in vivo assay, then ion chromatography",
P15,0,2027-05-03,0.0032,0.07,2.1,"in vivo assay, then ion chromatography",
P15,7,2027-05-10,0.0572,2.11,9.63,"in vivo assay, then ion chromatography",
P15,14,2027-05-17,0.1084,1.77,7.7,"in vivo assay, then ion chromatography",
P15,21,2027-05-24,0.1574,2.15,9.84,"in vivo assay, then ion chromatography",
P15,28,2027-05-31,0.2054,2.01,8.77,"in vivo assay, then ion chromatography",
P16,0,2027-05-03,0.0036,0.35,3.04,"in vivo assay, then ion chromatography",
P16,7,2027-05-10,0.0439,1.87,9.76,"in vivo assay, then ion chromatography",
P16,14,2027-05-17,0.1069,2.0,7.69,"in vivo assay, then ion chromatography",
P16,21,2027-05-24,0.1438,1.85,9.08,"in vivo assay, then ion chromatography",
P16,28,2027-05-31,0.1733,2.17,10.12,"in vivo assay, then ion chromatography",
