# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: dry_mass.csv | invented numbers, a dry run and not a result | scenario: the-step-is-real | every column is defined in the codebook for this experiment
sample_id,date,end_mass_g,dry_mass_g,method,notes
S46,2027-03-08,0.5983,0.0597,oven at 70 C to constant mass,
S47,2027-03-08,0.4667,0.0478,oven at 70 C to constant mass,
S48,2027-03-08,0.5282,0.053,oven at 70 C to constant mass,
S49,2027-03-08,0.5434,0.0593,oven at 70 C to constant mass,
S50,2027-03-08,0.6294,0.0651,oven at 70 C to constant mass,
S51,2027-03-08,0.5604,0.0595,oven at 70 C to constant mass,
S52,2027-03-08,0.6143,0.0667,oven at 70 C to constant mass,
S53,2027-03-08,0.5767,0.0628,oven at 70 C to constant mass,
S54,2027-03-08,0.4783,0.0505,oven at 70 C to constant mass,
S55,2027-03-08,0.5069,0.0584,oven at 70 C to constant mass,
S56,2027-03-08,0.54,0.0617,oven at 70 C to constant mass,
S57,2027-03-08,0.5262,0.0612,oven at 70 C to constant mass,
S58,2027-03-08,0.3508,0.0482,oven at 70 C to constant mass,
S59,2027-03-08,0.4196,0.0634,oven at 70 C to constant mass,
S60,2027-03-08,0.3886,0.0565,oven at 70 C to constant mass,
S61,2027-03-08,1.0254,0.0626,oven at 70 C to constant mass,
S62,2027-03-08,1.2777,0.0786,oven at 70 C to constant mass,
S63,2027-03-08,1.0491,0.0648,oven at 70 C to constant mass,
S64,2027-03-08,1.1516,0.0714,oven at 70 C to constant mass,
S65,2027-03-08,1.5962,0.0969,oven at 70 C to constant mass,
S66,2027-03-08,1.7601,0.1034,oven at 70 C to constant mass,
S67,2027-03-08,1.5179,0.0942,oven at 70 C to constant mass,
S68,2027-03-08,1.4148,0.0896,oven at 70 C to constant mass,
S69,2027-03-08,1.6531,0.1016,oven at 70 C to constant mass,
S70,2027-03-08,1.3346,0.0858,oven at 70 C to constant mass,
S71,2027-03-08,1.1387,0.0737,oven at 70 C to constant mass,
S72,2027-03-08,0.9092,0.0587,oven at 70 C to constant mass,
S73,2027-03-08,1.3379,0.0902,oven at 70 C to constant mass,
S74,2027-03-08,0.841,0.0622,oven at 70 C to constant mass,
S75,2027-03-08,0.7613,0.0548,oven at 70 C to constant mass,
S76,2027-03-08,0.3106,0.0475,oven at 70 C to constant mass,
S77,2027-03-08,0.3384,0.0535,oven at 70 C to constant mass,
S78,2027-03-08,0.3018,0.0481,oven at 70 C to constant mass,
S79,2027-03-08,0.3701,0.0584,oven at 70 C to constant mass,
S80,2027-03-08,0.3265,0.0496,oven at 70 C to constant mass,
S81,2027-03-08,0.3385,0.0526,oven at 70 C to constant mass,
S82,2027-03-08,0.3394,0.0555,oven at 70 C to constant mass,
S83,2027-03-08,0.2989,0.0478,oven at 70 C to constant mass,
S84,2027-03-08,0.3286,0.0535,oven at 70 C to constant mass,
S85,2027-03-08,0.3739,0.0675,oven at 70 C to constant mass,
S86,2027-03-08,0.2532,0.0472,oven at 70 C to constant mass,
S87,2027-03-08,0.295,0.053,oven at 70 C to constant mass,
S88,2027-03-08,0.2355,0.0551,oven at 70 C to constant mass,
S89,2027-03-08,0.1976,0.0486,oven at 70 C to constant mass,
S90,2027-03-08,0.2175,0.0518,oven at 70 C to constant mass,
