# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: mass_log.csv | invented numbers, a dry run and not a result | scenario: the-step-is-real | every column is defined in the codebook for this experiment
sample_id,minute,clock_time,mass_g,appearance,notes
S30,10,13:10,0.9262,frothing,
S30,20,13:20,0.6714,collapsed,
S30,40,13:40,0.3675,collapsed,
S30,60,14:00,0.2196,collapsed,
S31,0,13:00,0.3432,firm,
S31,2,13:02,0.3401,,
S31,5,13:05,0.3377,,
S31,10,13:10,0.3332,,
S31,20,13:20,0.324,,
S31,40,13:40,0.306,,
S31,60,14:00,0.2904,,
S32,0,13:00,0.3655,firm,
S32,2,13:02,0.3638,,
S32,5,13:05,0.3616,,
S32,10,13:10,0.3557,,
S32,20,13:20,0.3468,,
S32,40,13:40,0.3293,,
S32,60,14:00,0.3119,,
S33,0,13:00,0.2838,firm,
S33,2,13:02,0.2827,,
S33,5,13:05,0.2801,,
S33,10,13:10,0.2752,,
S33,20,13:20,0.2673,,
S33,40,13:40,0.25,,
S33,60,14:00,0.2364,,
S34,0,13:00,0.3608,firm,
S34,2,13:02,0.3585,,
S34,5,13:05,0.3544,,
S34,10,13:10,0.3472,,
S34,20,13:20,0.3351,,
S34,40,13:40,0.3115,,
S34,60,14:00,0.2893,,
S35,0,13:00,0.3108,firm,
S35,2,13:02,0.3096,,
S35,5,13:05,0.3058,,
S35,10,13:10,0.3018,,
S35,20,13:20,0.2923,,
S35,40,13:40,0.2733,,
S35,60,14:00,0.2564,,
S36,0,13:00,0.3256,firm,
S36,2,13:02,0.3226,,
S36,5,13:05,0.319,,
S36,10,13:10,0.3125,,
S36,20,13:20,0.3012,,
S36,40,13:40,0.2787,,
S36,60,14:00,0.2592,,
S37,0,13:00,0.3334,firm,
S37,2,13:02,0.3299,,
S37,5,13:05,0.3263,,
S37,10,13:10,0.3184,,
S37,20,13:20,0.3056,,
S37,40,13:40,0.2802,,
S37,60,14:00,0.2577,,
S38,0,13:00,0.3296,firm,
S38,2,13:02,0.3254,,
S38,5,13:05,0.3211,,
S38,10,13:10,0.3132,,
S38,20,13:20,0.2984,,
S38,40,13:40,0.2704,,
S38,60,14:00,0.246,,
S39,0,13:00,0.3659,firm,
S39,2,13:02,0.3624,,
S39,5,13:05,0.3563,,
S39,10,13:10,0.3469,,
S39,20,13:20,0.3296,,
S39,40,13:40,0.2956,,
S39,60,14:00,0.2678,,
S40,0,13:00,0.3827,firm,
S40,2,13:02,0.3384,bubbling,
S40,5,13:05,0.2831,frothing,
S40,10,13:10,0.2148,frothing,
S40,20,13:20,0.1327,collapsed,
S40,40,13:40,0.0748,collapsed,
S40,60,14:00,0.0614,collapsed,
S41,0,13:00,0.3611,firm,
S41,2,13:02,0.3145,bubbling,
S41,5,13:05,0.2578,frothing,
S41,10,13:10,0.1887,frothing,
S41,20,13:20,0.1135,collapsed,
S41,40,13:40,0.0662,collapsed,
S41,60,14:00,0.0561,collapsed,
S42,0,13:00,0.3246,firm,
S42,2,13:02,0.2887,bubbling,
S42,5,13:05,0.2427,frothing,
S42,10,13:10,0.1853,frothing,
S42,20,13:20,0.1169,collapsed,
S42,40,13:40,0.0653,collapsed,
S42,60,14:00,0.053,collapsed,
S43,0,13:00,0.3647,firm,
S43,2,13:02,0.306,bubbling,
S43,5,13:05,0.2382,frothing,
S43,10,13:10,0.1647,frothing,
S43,20,13:20,0.0926,collapsed,
S43,40,13:40,0.059,collapsed,
S43,60,14:00,0.0547,collapsed,
S44,0,13:00,0.3625,firm,
S44,2,13:02,0.3075,bubbling,
S44,5,13:05,0.244,frothing,
S44,10,13:10,0.1707,frothing,
S44,20,13:20,0.098,collapsed,
S44,40,13:40,0.0606,collapsed,
S44,60,14:00,0.0554,collapsed,
S45,0,13:00,0.3829,firm,
S45,2,13:02,0.3271,bubbling,
S45,5,13:05,0.2606,frothing,
S45,10,13:10,0.1848,frothing,
S45,20,13:20,0.1072,collapsed,
S45,40,13:40,0.0653,collapsed,
S45,60,14:00,0.0589,collapsed,
S46,0,13:00,0.6145,firm,
S46,2,13:02,0.6138,,
S46,5,13:05,0.6124,,
S46,10,13:10,0.6118,,
S46,20,13:20,0.6087,,
S46,40,13:40,0.6031,,
S46,60,14:00,0.5983,,
S47,0,13:00,0.4797,firm,
S47,2,13:02,0.4803,,
S47,5,13:05,0.4787,,
S47,10,13:10,0.4778,,
S47,20,13:20,0.4761,,
S47,40,13:40,0.4712,,
S47,60,14:00,0.466,,
S48,0,13:00,0.5412,firm,
S48,2,13:02,0.5401,,
S48,5,13:05,0.5398,,
S48,10,13:10,0.5388,,
S48,20,13:20,0.5361,,
S48,40,13:40,0.5325,,
S48,60,14:00,0.5289,,
S49,0,13:00,0.5665,firm,
S49,2,13:02,0.5661,,
S49,5,13:05,0.5641,,
S49,10,13:10,0.5625,,
S49,20,13:20,0.5587,,
S49,40,13:40,0.5514,,
S49,60,14:00,0.5431,,
S50,0,13:00,0.6598,firm,
S50,2,13:02,0.659,,
S50,5,13:05,0.6579,,
S50,10,13:10,0.6548,,
S50,20,13:20,0.6496,,
S50,40,13:40,0.6395,,
S50,60,14:00,0.6291,,
S51,0,13:00,0.5851,firm,
S51,2,13:02,0.5846,,
S51,5,13:05,0.5836,,
S51,10,13:10,0.5815,,
S51,20,13:20,0.5769,,
S51,40,13:40,0.5694,,
S51,60,14:00,0.5602,,
S52,0,13:00,0.6596,firm,
S52,2,13:02,0.6583,,
S52,5,13:05,0.6555,,
S52,10,13:10,0.6515,,
S52,20,13:20,0.6441,,
S52,40,13:40,0.6292,,
S52,60,14:00,0.6144,,
S53,0,13:00,0.6156,firm,
S53,2,13:02,0.6141,,
S53,5,13:05,0.6123,,
S53,10,13:10,0.609,,
S53,20,13:20,0.6023,,
S53,40,13:40,0.5889,,
S53,60,14:00,0.5771,,
S54,0,13:00,0.5103,firm,
S54,2,13:02,0.5098,,
S54,5,13:05,0.5076,,
S54,10,13:10,0.5048,,
S54,20,13:20,0.4997,,
S54,40,13:40,0.4885,,
S54,60,14:00,0.4783,,
S55,0,13:00,0.5983,firm,
S55,2,13:02,0.5951,,
S55,5,13:05,0.5901,,
S55,10,13:10,0.5819,,
S55,20,13:20,0.566,,
S55,40,13:40,0.5357,,
S55,60,14:00,0.5065,,
S56,0,13:00,0.6342,firm,
S56,2,13:02,0.6307,,
S56,5,13:05,0.6263,,
S56,10,13:10,0.6175,,
S56,20,13:20,0.6014,,
S56,40,13:40,0.5696,,
S56,60,14:00,0.5395,,
S57,0,13:00,0.6238,firm,
S57,2,13:02,0.62,,
S57,5,13:05,0.6154,,
S57,10,13:10,0.6069,,
S57,20,13:20,0.5893,,
S57,40,13:40,0.5572,,
S57,60,14:00,0.5261,,
S58,0,13:00,0.4901,firm,
S58,2,13:02,0.4836,,
S58,5,13:05,0.4758,,
S58,10,13:10,0.4628,,
S58,20,13:20,0.4377,,
S58,40,13:40,0.3906,,
S58,60,14:00,0.3507,,
S59,0,13:00,0.6251,firm,
S59,2,13:02,0.6165,,
S59,5,13:05,0.6049,,
S59,10,13:10,0.5842,,
S59,20,13:20,0.5463,,
S59,40,13:40,0.4782,,
S59,60,14:00,0.4195,,
S60,0,13:00,0.5526,firm,
S60,2,13:02,0.5463,,
S60,5,13:05,0.537,,
S60,10,13:10,0.5208,,
S60,20,13:20,0.4912,,
S60,40,13:40,0.4365,,
S60,60,14:00,0.3886,,
S61,0,13:00,1.0389,firm,
S61,2,13:02,1.0382,,
S61,5,13:05,1.0376,,
S61,10,13:10,1.0365,,
S61,20,13:20,1.0347,,
S61,40,13:40,1.0305,,
S61,60,14:00,1.0259,,
S62,0,13:00,1.294,firm,
S62,2,13:02,1.2931,,
S62,5,13:05,1.2925,,
S62,10,13:10,1.2911,,
S62,20,13:20,1.2885,,
S62,40,13:40,1.2822,,
S62,60,14:00,1.2777,,
S63,0,13:00,1.0623,firm,
S63,2,13:02,1.0612,,
S63,5,13:05,1.0603,,
S63,10,13:10,1.06,,
S63,20,13:20,1.057,,
S63,40,13:40,1.0543,,
S63,60,14:00,1.0488,,
S64,0,13:00,1.1774,firm,
S64,2,13:02,1.1763,,
S64,5,13:05,1.1747,,
S64,10,13:10,1.1727,,
S64,20,13:20,1.1686,,
S64,40,13:40,1.1604,,
S64,60,14:00,1.1507,,
S65,0,13:00,1.6265,firm,
S65,2,13:02,1.6256,,
S65,5,13:05,1.6239,,
S65,10,13:10,1.6218,,
S65,20,13:20,1.6158,,
S65,40,13:40,1.6065,,
S65,60,14:00,1.5958,,
S66,0,13:00,1.7954,firm,
S66,2,13:02,1.7949,,
S66,5,13:05,1.7938,,
S66,10,13:10,1.7897,,
S66,20,13:20,1.7836,,
S66,40,13:40,1.7726,,
S66,60,14:00,1.7608,,
S67,0,13:00,1.5634,firm,
S67,2,13:02,1.5622,,
S67,5,13:05,1.5598,,
S67,10,13:10,1.5556,,
S67,20,13:20,1.5481,,
S67,40,13:40,1.5334,,
S67,60,14:00,1.5175,,
S68,0,13:00,1.4607,firm,
S68,2,13:02,1.4586,,
S68,5,13:05,1.4563,,
S68,10,13:10,1.452,,
S68,20,13:20,1.4448,,
S68,40,13:40,1.4302,,
S68,60,14:00,1.4149,,
S69,0,13:00,1.703,firm,
S69,2,13:02,1.7009,,
S69,5,13:05,1.6982,,
S69,10,13:10,1.6941,,
S69,20,13:20,1.6865,,
S69,40,13:40,1.6697,,
S69,60,14:00,1.6531,,
S70,0,13:00,1.4446,firm,
S70,2,13:02,1.4414,,
S70,5,13:05,1.4354,,
S70,10,13:10,1.4255,,
S70,20,13:20,1.4069,,
S70,40,13:40,1.3699,,
S70,60,14:00,1.3342,,
S71,0,13:00,1.2256,firm,
S71,2,13:02,1.2225,,
S71,5,13:05,1.218,,
S71,10,13:10,1.2109,,
S71,20,13:20,1.1955,,
S71,40,13:40,1.166,,
S71,60,14:00,1.1394,,
S72,0,13:00,0.982,firm,
S72,2,13:02,0.9795,,
S72,5,13:05,0.9759,,
S72,10,13:10,0.9695,,
S72,20,13:20,0.9571,,
S72,40,13:40,0.9328,,
S72,60,14:00,0.9091,,
S73,0,13:00,1.5393,firm,
S73,2,13:02,1.5315,,
S73,5,13:05,1.5204,,
S73,10,13:10,1.5036,,
S73,20,13:20,1.4681,,
S73,40,13:40,1.4017,,
S73,60,14:00,1.3376,,
S74,0,13:00,1.0146,firm,
S74,2,13:02,1.0076,,
S74,5,13:05,0.999,,
S74,10,13:10,0.9835,,
S74,20,13:20,0.9527,,
S74,40,13:40,0.8953,,
S74,60,14:00,0.8415,,
S75,0,13:00,0.9143,firm,
S75,2,13:02,0.909,,
S75,5,13:05,0.9002,,
S75,10,13:10,0.8863,,
S75,20,13:20,0.8596,,
S75,40,13:40,0.8102,,
S75,60,14:00,0.7609,,
S76,0,13:00,0.3199,firm,
S76,2,13:02,0.3195,,
S76,5,13:05,0.3191,,
S76,10,13:10,0.3186,,
S76,20,13:20,0.3173,,
S76,40,13:40,0.3137,,
S76,60,14:00,0.3103,,
S77,0,13:00,0.3495,firm,
S77,2,13:02,0.3494,,
S77,5,13:05,0.349,,
S77,10,13:10,0.3479,,
S77,20,13:20,0.3467,,
S77,40,13:40,0.3415,,
S77,60,14:00,0.3385,,
S78,0,13:00,0.3106,firm,
S78,2,13:02,0.3118,,
S78,5,13:05,0.3109,,
S78,10,13:10,0.3099,,
S78,20,13:20,0.3086,,
S78,40,13:40,0.3045,,
S78,60,14:00,0.3014,,
S79,0,13:00,0.3897,firm,
S79,2,13:02,0.3895,,
S79,5,13:05,0.3892,,
S79,10,13:10,0.3864,,
S79,20,13:20,0.3828,,
S79,40,13:40,0.3758,,
S79,60,14:00,0.3701,,
S80,0,13:00,0.3433,firm,
S80,2,13:02,0.3428,,
S80,5,13:05,0.3418,,
S80,10,13:10,0.3404,,
S80,20,13:20,0.3381,,
S80,40,13:40,0.3321,,
S80,60,14:00,0.3267,,
S81,0,13:00,0.3562,firm,
S81,2,13:02,0.3552,,
S81,5,13:05,0.3547,,
S81,10,13:10,0.3523,,
S81,20,13:20,0.3502,,
S81,40,13:40,0.3439,,
S81,60,14:00,0.3385,,
S82,0,13:00,0.3652,firm,
S82,2,13:02,0.3646,,
S82,5,13:05,0.3637,,
S82,10,13:10,0.3606,,
S82,20,13:20,0.3564,,
S82,40,13:40,0.3475,,
S82,60,14:00,0.339,,
S83,0,13:00,0.3224,firm,
S83,2,13:02,0.3222,,
S83,5,13:05,0.3208,,
S83,10,13:10,0.3188,,
S83,20,13:20,0.3146,,
S83,40,13:40,0.3064,,
S83,60,14:00,0.2992,,
S84,0,13:00,0.3559,firm,
S84,2,13:02,0.3554,,
S84,5,13:05,0.3534,,
S84,10,13:10,0.3515,,
S84,20,13:20,0.3458,,
S84,40,13:40,0.3374,,
S84,60,14:00,0.3287,,
S85,0,13:00,0.4444,firm,
S85,2,13:02,0.4413,,
S85,5,13:05,0.4374,,
S85,10,13:10,0.432,,
S85,20,13:20,0.419,,
S85,40,13:40,0.3961,,
S85,60,14:00,0.3732,,
S86,0,13:00,0.3084,firm,
S86,2,13:02,0.3059,,
S86,5,13:05,0.3033,,
S86,10,13:10,0.2981,,
S86,20,13:20,0.289,,
S86,40,13:40,0.2699,,
S86,60,14:00,0.2525,,
S87,0,13:00,0.3541,firm,
S87,2,13:02,0.3523,,
S87,5,13:05,0.3494,,
S87,10,13:10,0.3436,,
S87,20,13:20,0.3333,,
S87,40,13:40,0.3134,,
S87,60,14:00,0.2951,,
S88,0,13:00,0.3688,firm,
S88,2,13:02,0.3635,,
S88,5,13:05,0.3554,,
S88,10,13:10,0.3415,,
S88,20,13:20,0.3161,,
S88,40,13:40,0.2724,,
S88,60,14:00,0.2351,,
S89,0,13:00,0.3251,firm,
S89,2,13:02,0.3195,,
S89,5,13:05,0.3109,,
S89,10,13:10,0.2975,,
S89,20,13:20,0.273,,
S89,40,13:40,0.2317,,
S89,60,14:00,0.1981,,
S90,0,13:00,0.3453,firm,
S90,2,13:02,0.3399,,
S90,5,13:05,0.3319,,
S90,10,13:10,0.3198,,
S90,20,13:20,0.2945,,
S90,40,13:40,0.2519,,
S90,60,14:00,0.2178,,
